Cohort Year,Cohort Category,Demographic,# Total Cohort,# Total Grads,% of cohort Total Grads,# of cohort Total Grads,% of cohort Total Regents,% of grads  Total Regents,# of grads  Total Regents,% of cohort  Advanced Regents,% of grads  Advanced Regents,# of grads  Advanced Regents,% of cohort  Regents w/o Advanced,% of grads  Regents w/o Advanced,# of grads  Regents w/o Advanced,% of cohort Local,% of grads Local,# Still Enrolled,% of cohort Still Enrolled,# Dropped Out,% of cohort Dropped Out
2001,4 Year  June,English Language Learner,"10,540","2,791",26.5,992,9,35.5,315,3,11.3,677,6.4,24.3,"1,803",17.1,64.6,"3,895",37,"3,220",30.6
2001,5 Year  June,English Language Learner,"10,540","3,920",37.2,"1,233",11.7,31.5,371,3.5,9.5,862,8.2,22,"2,701",25.6,68.9,"1,516",14.4,"4,193",39.8
2001,6 Year,English Language Learner,"10,540","4,296",40.8,"1,291",12.2,30.1,380,3.6,8.8,911,8.6,21.2,"3,028",28.7,70.5,655,6.2,"4,598",43.6
2002,4 Year  June,English Language Learner,"7,454","1,691",22.7,639,8.6,37.8,132,1.8,7.8,507,6.8,30,"1,062",14.2,62.8,"3,062",41.1,"2,330",31.3
2002,5 Year  June,English Language Learner,"7,454","2,354",31.6,794,10.7,33.7,176,2.4,7.5,618,8.3,26.3,"1,578",21.2,67,"1,457",19.5,"3,041",40.8
2002,6 Year,English Language Learner,"7,454","2,729",36.6,856,11.5,31.4,185,2.5,6.8,671,9,24.6,"1,891",25.4,69.3,697,9.4,"3,356",45
2003,4 Year  June,English Language Learner,"8,163","2,052",25.1,909,11.1,44.3,290,3.6,14.1,619,7.6,30.2,"1,143",14,55.7,"3,360",41.2,"2,394",29.3
2003,5 Year  June,English Language Learner,"8,163","3,105",38,"1,159",14.2,37.3,358,4.4,11.5,801,9.8,25.8,"1,946",23.8,62.7,"1,327",16.3,"3,111",38.1
2003,6 Year,English Language Learner,"8,041","3,394",42.2,"1,216",15.1,35.8,363,4.5,10.7,853,10.6,25.1,"2,178",27.1,64.2,570,7.1,"3,361",41.8
2004,4 Year  June,English Language Learner,"8,486","3,039",35.8,"1,504",17.7,49.5,487,5.7,16,"1,017",12,33.5,"1,535",18.1,50.5,"3,288",38.7,"1,840",21.7
2004,4 Year August,English Language Learner,"8,486","3,404",40.1,"1,599",18.8,47,,,,,,,"1,809",21.3,53.1,"2,923",34.4,"1,840",21.7
2004,5 Year  June,English Language Learner,"8,320","4,065",48.9,"1,799",21.6,44.3,558,6.7,13.7,"1,241",14.9,30.5,"2,266",27.2,55.7,"1,151",13.8,"2,389",28.7
2004,6 Year,English Language Learner,"8,306","4,394",52.9,"1,873",22.5,42.6,568,6.8,12.9,"1,305",15.7,29.7,"2,521",30.4,57.4,619,7.5,"2,710",32.6
2005,4 Year  June,English Language Learner,"8,778","3,481",39.7,"1,908",21.7,54.8,583,6.6,16.7,"1,325",15.1,38.1,"1,572",17.9,45.2,"3,060",34.9,"1,700",19.4
2005,4 Year August,English Language Learner,"8,778","3,899",44.4,"2,015",23,51.7,594,6.8,15.2,"1,421",16.2,36.4,"1,883",21.5,48.3,"2,642",30.1,"1,700",19.4
2005,5 Year  June,English Language Learner,"8,743","4,546",52,"2,232",25.5,49.1,642,7.3,14.1,"1,590",18.2,35,"2,314",26.5,50.9,"1,016",11.6,"2,531",28.9
2005,6 Year,English Language Learner,"8,673","4,852",55.9,"2,304",26.6,47.5,647,7.5,13.3,"1,657",19.1,34.2,"2,548",29.4,52.5,454,5.2,"2,711",31.3
2006,4 Year  June,English Language Learner,"9,056","3,755",41.5,"2,437",26.9,64.9,593,6.5,15.8,"1,844",20.4,49.1,"1,318",14.6,35.1,"3,002",33.1,"1,797",19.8
2006,4 Year August,English Language Learner,"9,056","4,175",46.1,"2,573",28.4,61.6,608,6.7,14.6,"1,965",21.7,47.1,"1,602",17.7,38.4,"2,588",28.6,"1,791",19.8
2006,5 Year  June,English Language Learner,"9,158","4,775",52.1,"2,783",30.4,58.3,633,6.9,13.3,"2,150",23.5,45,"1,992",21.8,41.7,"1,095",12,"2,575",28.1
2006,5 Year August,English Language Learner,"9,158","4,878",53.3,"2,812",30.7,57.6,633,6.9,13,"2,179",23.8,44.7,"2,066",22.6,42.4,"1,005",11,"2,559",27.9
2006,6 Year,English Language Learner,"8,829","5,069",57.4,"2,867",32.5,56.6,633,7.2,12.5,"2,234",25.3,44.1,"2,202",24.9,43.4,341,3.9,"2,740",31
2007,4 Year  June,English Language Learner,"9,444","3,720",39.4,"2,765",29.3,74.3,562,6,15.1,"2,203",23.3,59.2,955,10.1,25.7,"3,407",36.1,"1,896",20.1
2007,4 Year August,English Language Learner,"9,444","4,263",45.1,"3,013",31.9,70.7,575,6.1,13.5,"2,438",25.8,57.2,"1,250",13.2,29.3,"2,881",30.5,"1,883",19.9
2007,5 Year  June,English Language Learner,"9,156","4,824",52.7,"3,241",35.4,67.2,591,6.5,12.3,"2,650",28.9,54.9,"1,583",17.3,32.8,873,9.5,"2,856",31.2
